glyph,unicode,广韵信息,反切,polyhedron中古全拼,mandarin_pinyin,cantonese_jyutping
彤,U+5F64,定開一平冬,徒冬,duung,tóng,tung4
疼,U+75BC,定開一平冬,徒冬,duung,téng,tang4；tung3
佟,U+4F5F,定開一平冬,徒冬,duung,tóng,tung4
炵,U+70B5,"定開一平冬
透開一平冬","徒冬
他冬","duung
thuung",tōng,tung1
䳋,U+4CCB,定開一平冬,徒冬,duung,tóng；tōng；xiāo,tung4
鼕,U+9F15,定開一平冬,徒冬,duung,dōng；tóng,dung1
𢥞,U+2295E,定開一平冬,徒冬,duung,chōng,tung4
𢾮,U+22FAE,定開一平冬,徒冬,duung,,
㤏,U+390F,定開一平冬,徒冬,duung,tóng,dung2
痋,U+75CB,定開一平冬,徒冬,duung,chóng；téng,tang4
䂈,U+4088,定開一平冬,徒冬,duung,tóng,tung4
鉵,U+9275,定開一平冬,徒冬,duung,tóng；zhuó,tung4
𧹝,U+27E5D,定開一平冬,徒冬,duung,,
浵,U+6D75,定開一平冬,徒冬,duung,tóng,tung4
𠩁,U+20A41,定開一平冬,徒冬,duung,,
鉖,U+9256,定開一平冬,徒冬,duung,tóng,tung4
𨜳,U+28733,定開一平冬,徒冬,duung,tóng,
㠽,U+383D,定開一平冬,徒冬,duung,tóng,tung4
赨,U+8D68,定開一平冬,徒冬,duung,tóng；xióng,tung4
賨,U+8CE8,從開一平冬,藏宗,zuung,cóng,cung4
琮,U+742E,從開一平冬,藏宗,zuung,cóng,cung4
悰,U+60B0,從開一平冬,藏宗,zuung,cóng,cung4
淙,U+6DD9,"崇開二平江
從開一平冬
生開二去江","士江
藏宗
色絳","zrung
zuung
srungh",cóng；shuàng,cung4；zung1
慒,U+6152,"從開一平冬
邪開三平尤","藏宗
似尤","zuung
zsiu",cáo；cóng,cung4
鬃,U+9B03,"崇開二平江
從開一平冬","士江
藏宗","zrung
zuung",zōng,zung1
㼻,U+3F3B,"崇開二平江
從開一平冬","士江
藏宗","zrung
zuung",cóng,cung4
孮,U+5B6E,從開一平冬,藏宗,zuung,cóng,cung4
誴,U+8AB4,從開一平冬,藏宗,zuung,cóng,cung4
𢃏,U+220CF,從開一平冬,藏宗,zuung,cóng,
農,U+8FB2,泥開一平冬,奴冬,nuung,nóng,lung4；nung4
䢉,U+4889,泥開一平冬,奴冬,nuung,nóng,lung4；nung4
辳,U+8FB3,泥開一平冬,奴冬,nuung,nóng,lung4；nung4
𨑋,U+2844B,泥開一平冬,奴冬,nuung,,
𩟊,U+297CA,"娘開二上江
娘開二平江
泥開一平冬","匿講
女江
奴冬","nrungx
nrung
nuung",nóng,
噥,U+5665,"娘開二平江
泥開一平冬","女江
奴冬","nrung
nuung",náng；nóng,lung4；nung4
𩅽,U+2917D,泥開一平冬,奴冬,nuung,nóng,
憹,U+61B9,泥開一平冬,奴冬,nuung,náng；náo；nóng；nǎo,lou4；lou5；lung4；nou4；nou5；nung4
㺜,U+3E9C,"娘開二平肴
泥開一平冬
泥開一平豪","女交
奴冬
奴刀","nrau
nuung
nau",nóng,lung4；nung4
儂,U+5102,泥開一平冬,奴冬,nuung,nóng,lung4；nung4
𧗕,U+275D5,泥開一平冬,奴冬,nuung,,
膿,U+81BF,泥開一平冬,奴冬,nuung,nóng,lung4；nung4
䃔,U+40D4,"匣開一去冬
匣開一平冬","乎宋
戸冬","ghuungh
ghuung",hóng；qióng,hung4
㗢,U+35E2,"匣開一去冬
匣開一平冬
定開一去東","乎宋
戸冬
徒弄","ghuungh
ghuung
dungh",dòng；hòng；hóng,hung4
𩘎,U+2960E,匣開一平冬,戸冬,ghuung,hóng,
䃧,U+40E7,來開一平冬,力冬,luung,lóng,lung4
䥢,U+4962,來開一平冬,力冬,luung,lóng；qī,lung4
𣫣,U+23AE3,來開一平冬,力冬,luung,lóng,
宗,U+5B97,精開一平冬,作冬,cuung,zong；zōng,zung1
倧,U+5027,精開一平冬,作冬,cuung,zōng,zung1
鬆,U+9B06,"心開一去東
心開一平冬
心開三平鍾
清開三平鍾","蘇弄
私宗
息恭
七恭","sungh
suung
syung
chyung",sòng；sóng；sōng,sung1
䯳,U+4BF3,心開一平冬,私宗,suung,sōng,sung1
鍾,U+937E,章開三平鍾,職容,cjyung,zhōng,zung1
鐘,U+9418,章開三平鍾,職容,cjyung,zhōng,zung1
忪,U+5FEA,章開三平鍾,職容,cjyung,sōng；zhōng,sung1；zung1
䇗,U+41D7,章開三平鍾,職容,cjyung,zhōng,zung1
蹱,U+8E71,"徹開三去鍾
徹開三平鍾
章開三平鍾","丑用
丑凶
職容","thryungh
thryung
cjyung",chòng；zhōng,zung1
彸,U+5F78,章開三平鍾,職容,cjyung,zhōng,zung1
衳,U+8873,章開三平鍾,職容,cjyung,zhōng,zung1
伀,U+4F00,章開三平鍾,職容,cjyung,zhōng,zung1
籦,U+7C66,章開三平鍾,職容,cjyung,zhōng,zung1
妐,U+5990,章開三平鍾,職容,cjyung,zhōng,zung1
㕬,U+356C,章開三平鍾,職容,cjyung,gōng；sòng,zung1
𧢸,U+278B8,"章開三平鍾
見開二平江","職容
古雙","cjyung
krung",,
炂,U+7082,章開三平鍾,職容,cjyung,zhōng,zung1
𦬘,U+26B18,章開三平鍾,職容,cjyung,gōng；sōng,
𨳗,U+28CD7,章開三平鍾,職容,cjyung,zhōng,
鈆,U+9206,"以合三平仙A
章開三平鍾","與專
職容","jyen
cjyung",qiān；zhōng,jyun4
龍,U+9F8D,來開三平鍾,力鍾,lyung,lóng；máng,lung2；lung4
𪚝,U+2A69D,來開三平鍾,力鍾,lyung,lóng,
躘,U+8E98,"來開三去鍾
來開三平鍾","良用
力鍾","lyungh
lyung",lóng；lǒng,lung4
驡,U+9A61,"來開三平鍾
精開一上唐","力鍾
子朗","lyung
cangx",lóng；zǎng,lung4
𪚠,U+2A6A0,來開三平鍾,力鍾,lyung,lóng,
𦪽,U+26ABD,來開三平鍾,力鍾,lyung,lóng；lǒng,
舂,U+8202,書開三平鍾,書容,sjyung,chuāng；chōng；zhōng,zung1
𧐍,U+2740D,書開三平鍾,書容,sjyung,chōng,
摏,U+644F,書開三平鍾,書容,sjyung,chōng,zung1
蹖,U+8E56,書開三平鍾,書容,sjyung,chōng,zung1
𪄻,U+2A13B,書開三平鍾,書容,sjyung,chōng；zhuāng,
憃,U+6183,"徹開三去鍾
徹開二平江
書開三平鍾","丑用
丑江
書容","thryungh
thrung
sjyung",chōng,cung1；zung1
松,U+677E,"心開一去東
心開一平冬
心開三平鍾
清開三平鍾
邪開三平鍾","蘇弄
私宗
息恭
七恭
祥容","sungh
suung
syung
chyung
zsyung",sōng,cung2；cung4；sung1
㮤,U+3BA4,邪開三平鍾,祥容,zsyung,,cung4
淞,U+6DDE,"心開三平鍾
邪開三平鍾","息恭
祥容","syung
zsyung",sōng,sung1
訟,U+8A1F,"邪開三去鍾
邪開三平鍾","似用
祥容","zsyungh
zsyung",sòng,zung6
𧘂,U+27602,昌開三平鍾,尺容,chjyung,chōng,cung1
衝,U+885D,昌開三平鍾,尺容,chjyung,chòng；chōng；chǒng,cung1；cung3
憧,U+61A7,"昌開三平鍾
澄開二去江","尺容
直絳","chjyung
drungh",chōng；zhuàng,cung1
䡴,U+4874,"昌開三平鍾
澄開二去江","尺容
直絳","chjyung
drungh",chōng,cung1
艟,U+825F,"昌開三平鍾
澄開二去江","尺容
直絳","chjyung
drungh",chōng；tóng；zhuàng,cung1；tung4
褈,U+8908,"昌開三平鍾
澄開三平鍾","尺容
直容","chjyung
dryung",chóng；chōng；zhòng,cung4
𠟍,U+207CD,昌開三平鍾,尺容,chjyung,chōng,cung1
𠝤,U+20764,昌開三平鍾,尺容,chjyung,chōng,
䂌,U+408C,昌開三平鍾,尺容,chjyung,chōng,cung1
容,U+5BB9,以開三平鍾,餘封,jyung,róng；yǒng,jung4
溶,U+6EB6,"以開三上鍾
以開三平鍾","余隴
餘封","jyungx
jyung",róng,jung4
滽,U+6EFD,以開三平鍾,餘封,jyung,yōng,jung4
庸,U+5EB8,以開三平鍾,餘封,jyung,yóng；yōng,jung4
𦤘,U+26918,以開三平鍾,餘封,jyung,yōng,
𧴄,U+27D04,以開三平鍾,餘封,jyung,yōng,
㺎,U+3E8E,以開三平鍾,餘封,jyung,róng,jung4
𤛑,U+246D1,以開三平鍾,餘封,jyung,yōng,
墉,U+5889,以開三平鍾,餘封,jyung,yōng,jung4
鎔,U+9394,以開三平鍾,餘封,jyung,róng,jung4
鏞,U+93DE,以開三平鍾,餘封,jyung,yōng,jung4
銿,U+92BF,以開三平鍾,餘封,jyung,yōng；zhōng,zung1
鄘,U+9118,以開三平鍾,餘封,jyung,yōng,jung4
傭,U+50AD,"以開三平鍾
徹開三平鍾","餘封
丑凶","jyung
thryung",chōng；yòng；yōng,jung4
𪅟,U+2A15F,以開三平鍾,餘封,jyung,yóng,
㼸,U+3F38,以開三平鍾,餘封,jyung,róng,jung4
𤮇,U+24B87,以開三平鍾,餘封,jyung,,
鱅,U+9C45,"以開三平鍾
常開三平鍾","餘封
蜀庸","jyung
zjyung",yóng；yōng,jung4；sung4
蓉,U+84C9,以開三平鍾,餘封,jyung,róng,jung4
䗤,U+45E4,以開三平鍾,餘封,jyung,yóng,jung4
傛,U+509B,"以開三上鍾
以開三平鍾","余隴
餘封","jyungx
jyung",róng；yǒng,jung4；jung5；jung6
褣,U+8923,以開三平鍾,餘封,jyung,róng,jung4
搈,U+6408,以開三平鍾,餘封,jyung,róng,jung4
瑢,U+7462,以開三平鍾,餘封,jyung,róng,jung4
䈶,U+4236,以開三平鍾,餘封,jyung,róng,jung4
嵱,U+5D71,以開三平鍾,餘封,jyung,yóng；yǒng,jung2；jung4
頌,U+980C,"以開三平鍾
邪開三去鍾","餘封
似用","jyung
zsyungh",róng；sòng,zung6
㝐,U+3750,以開三平鍾,餘封,jyung,róng,jung4
䡆,U+4846,以開三平鍾,餘封,jyung,róng,jung4
㟾,U+37FE,以開三平鍾,餘封,jyung,yōng,jung4
𨲟,U+28C9F,以開三平鍾,餘封,jyung,róng,
𪃾,U+2A0FE,以開三平鍾,餘封,jyung,róng,jung4
槦,U+69E6,以開三平鍾,餘封,jyung,yōng,jung4
㣑,U+38D1,以開三平鍾,餘封,jyung,róng,jung4
𢧳,U+229F3,以開三平鍾,餘封,jyung,yōng,
封,U+5C01,"幫開三去鍾
幫開三平鍾","方用
府容","pyungh
pyung",biǎn；fēng,fung1
𡉚,U+2125A,幫開三平鍾,府容,pyung,fēng；huáng,
犎,U+728E,幫開三平鍾,府容,pyung,fēng,fung1
葑,U+8451,"幫開三去鍾
幫開三平鍾","方用
府容","pyungh
pyung",fèng；fēng,fung1；fung3；fung6
崶,U+5D36,幫開三平鍾,府容,pyung,fēng,fung1
胷,U+80F7,曉開三平鍾,許容,hyung,xiōng,hung1
凶,U+51F6,曉開三平鍾,許容,hyung,xiōng,hung1
𣧑,U+239D1,曉開三平鍾,許容,hyung,,
銎,U+928E,"曉開三平鍾
溪開三平鍾","許容
曲恭","hyung
khyung",qióng；qiōng,kung4
洶,U+6D36,"曉開三上鍾
曉開三平鍾","許拱
許容","hyungx
hyung",xiōng,hung1
恟,U+605F,曉開三平鍾,許容,hyung,xiōng,hung1
𧧗,U+279D7,曉開三平鍾,許容,hyung,,
兇,U+5147,"曉開三上鍾
曉開三平鍾","許拱
許容","hyungx
hyung",xiōng,hung1
訩,U+8A29,曉開三平鍾,許容,hyung,xiōng,hung1
匈,U+5308,曉開三平鍾,許容,hyung,xiōng,hung1
顒,U+9852,疑開三平鍾,魚容,ngyung,yóng；yú,jung4
𩤛,U+2991B,疑開三平鍾,魚容,ngyung,yóng,
鰅,U+9C05,"疑合三平虞
疑開三平鍾","虞俱
魚容","ngyo
ngyung",yú,jung4；jyu4
喁,U+5581,疑開三平鍾,魚容,ngyung,yóng；yú,jung4；jyu4
邕,U+9095,影開三平鍾,於容,qyung,yōng；yǒng,jung1
雍,U+96CD,"影開三去鍾
影開三平鍾","於用
於容","qyungh
qyung",yōng,jung1
噰,U+5670,影開三平鍾,於容,qyung,yōng；yǒng,jung1
嗈,U+55C8,影開三平鍾,於容,qyung,yōng,jung1
郺,U+90FA,"影開一上東
影開三平鍾","烏孔
於容","qungx
qyung",yōng,jung1
澭,U+6FAD,影開三平鍾,於容,qyung,yōng；yǒng,jung1
灉,U+7049,"影開三去鍾
影開三平鍾","於用
於容","qyungh
qyung",yōng,jung1
癰,U+7670,影開三平鍾,於容,qyung,yōng,jung1
罋,U+7F4B,"影開一去東
影開三平鍾","烏貢
於容","qungh
qyung",wèng,ngung3；ung3
廱,U+5EF1,影開三平鍾,於容,qyung,yōng,jung1
饔,U+9954,影開三平鍾,於容,qyung,yōng,jung1
壅,U+58C5,"影開三上鍾
影開三平鍾","於隴
於容","qyungx
qyung",wèng；yōng,jung1；jung2；ngung1；ung1
雝,U+96DD,影開三平鍾,於容,qyung,yōng,jung1
𪄉,U+2A109,影開三平鍾,於容,qyung,yōng,
㻾,U+3EFE,影開三平鍾,於容,qyung,yōng,jung1
𧴗,U+27D17,影開三平鍾,於容,qyung,yōng,
醲,U+91B2,娘開三平鍾,女容,nryung,nóng,lung4；nung4
𨑊,U+2844A,"娘開三平鍾
娘開二上江
泥開一上東","女容
匿講
奴動","nryung
nrungx
nungx",nóng,
濃,U+6FC3,娘開三平鍾,女容,nryung,nóng,lung4；nung4
襛,U+895B,"娘開三平鍾
日開三平鍾","女容
而容","nryung
njyung",nóng,lung4；nung4
穠,U+7A60,"娘開三平鍾
日開三平鍾","女容
而容","nryung
njyung",nóng,lung4；nung4
檂,U+6A82,娘開三平鍾,女容,nryung,nóng,lung4；nung4
𪒬,U+2A4AC,娘開三平鍾,女容,nryung,nóng,nung1
𨲳,U+28CB3,娘開三平鍾,女容,nryung,nóng,
重,U+91CD,"澄開三上鍾
澄開三去鍾
澄開三平鍾","直隴
柱用
直容","dryungx
dryungh
dryung",chóng；tóng；zhòng,cung4；cung5；zung6
緟,U+7DDF,"澄開三去鍾
澄開三平鍾","柱用
直容","dryungh
dryung",chóng；zhòng,cung5
䳯,U+4CEF,澄開三平鍾,直容,dryung,chóng；chǒng,cung4
蝩,U+8769,澄開三平鍾,直容,dryung,chóng；zhōng,cung4
從,U+5F9E,"從開三去鍾
從開三平鍾
清開三平鍾","疾用
疾容
七恭","zyungh
zyung
chyung",cóng；cōng；zòng；zōng；zǒng,cung4；sung1；zung1；zung3
从,U+4ECE,"從開三去鍾
從開三平鍾
清開三平鍾","疾用
疾容
七恭","zyungh
zyung
chyung",cóng；cōng,cung4；sung1；zung1；zung3
𩀰,U+29030,從開三平鍾,疾容,zyung,,
𦟛,U+267DB,徹開三平鍾,丑凶,thryung,chōng,
𨙦,U+28666,徹開三平鍾,丑凶,thryung,,
䝑,U+4751,徹開三平鍾,丑凶,thryung,chōng,cung1
𨤩,U+28929,徹開三平鍾,丑凶,thryung,chōng,
𪒒,U+2A492,徹開三平鍾,丑凶,thryung,chōng,
逢,U+9022,並開三平鍾,符容,byung,féng；páng；péng,fung4；pung4
縫,U+7E2B,"並開三去鍾
並開三平鍾","扶用
符容","byungh
byung",fèng；féng,fung2；fung4；fung6
漨,U+6F28,並開三平鍾,符容,byung,běng；féng；péng,fung4
䩼,U+4A7C,並開三平鍾,符容,byung,féng,fung4
𥎌,U+2538C,並開三平鍾,符容,byung,,
夆,U+5906,"並開三平鍾
匣開一去泰","符容
胡蓋","byung
ghad",féng；páng,fung1
𥛝,U+256DD,並開三平鍾,符容,byung,féng,
捀,U+6340,"並開三去鍾
並開三平鍾","扶用
符容","byungh
byung",féng,fung4
峯,U+5CEF,滂開三平鍾,敷容,phyung,fēng,fung1
鋒,U+92D2,滂開三平鍾,敷容,phyung,fēng,fung1
丰,U+4E30,"滂開三平東
滂開三平鍾","敷空
敷容","phiung
phyung",fēng,fung1
𡴀,U+21D00,滂開三平鍾,敷容,phyung,,
𢓱,U+224F1,滂開三平鍾,敷容,phyung,fèng；fēng,
妦,U+59A6,滂開三平鍾,敷容,phyung,fēng,fung1
蠭,U+882D,滂開三平鍾,敷容,phyung,fēng；páng,fung1
𧒒,U+27492,滂開三平鍾,敷容,phyung,,
桻,U+687B,滂開三平鍾,敷容,phyung,fèng；fēng,fung1
㷭,U+3DED,滂開三平鍾,敷容,phyung,,fung1
烽,U+70FD,滂開三平鍾,敷容,phyung,fēng,fung1
莑,U+8391,滂開三平鍾,敷容,phyung,fēng；péng,pung4
仹,U+4EF9,滂開三平鍾,敷容,phyung,fēng,fung1
㸼,U+3E3C,滂開三平鍾,敷容,phyung,,fung1
縱,U+7E31,"精開三去鍾
精開三平鍾","子用
即容","cyungh
cyung",cóng；zòng；zǒng,zung1；zung3
𣯨,U+23BE8,精開三平鍾,即容,cyung,zōng,
蹤,U+8E64,精開三平鍾,即容,cyung,zōng,zung1
䡮,U+486E,精開三平鍾,即容,cyung,,zung1
樅,U+6A05,"清開三平鍾
精開三平鍾","七恭
即容","chyung
cyung",cōng；zōng,cung1；zung1
磫,U+78EB,精開三平鍾,即容,cyung,zōng,zung1
熧,U+71A7,精開三平鍾,即容,cyung,zōng,zung1
𧺣,U+27EA3,"清開三平鍾
精開三平鍾","七恭
即容","chyung
cyung",zōng,
茸,U+8338,日開三平鍾,而容,njyung,róng；rōng；rǒng,jung2；jung4；jung5
䩸,U+4A78,"日開三去鍾
日開三平鍾","而用
而容","njyungh
njyung",róng；rǒng,jung4
髶,U+9AF6,"日開三去脂A
日開三平鍾","而至
而容","njiih
njyung",róng；èr,jung4
䇯,U+41EF,日開三平鍾,而容,njyung,róng,jung4
搑,U+6411,"日開三上鍾
日開三平鍾","而隴
而容","njyungx
njyung",náng；nǎng；róng,jung4
𥎂,U+25382,日開三平鍾,而容,njyung,róng,
榵,U+69B5,日開三平鍾,而容,njyung,róng,jung4
穁,U+7A41,"日開三上鍾
日開三平鍾","而隴
而容","njyungx
njyung",róng,jung4
蛩,U+86E9,群開三平鍾,渠容,gyung,gǒng；qióng,kung4
邛,U+909B,群開三平鍾,渠容,gyung,qióng,kung4
舼,U+823C,群開三平鍾,渠容,gyung,hóng；qióng,kung4
𦨰,U+26A30,群開三平鍾,渠容,gyung,qióng,
筇,U+7B47,群開三平鍾,渠容,gyung,qióng,kung4
輁,U+8F01,"群開三平鍾
見開三上鍾","渠容
居悚","gyung
kyungx",gǒng,gung2
𦭭,U+26B6D,群開三平鍾,渠容,gyung,qióng,
䂬,U+40AC,"群開三平鍾
見開三上鍾","渠容
居悚","gyung
kyungx",gǒng,gung2
蛬,U+86EC,"群開三平鍾
見開三上鍾","渠容
居悚","gyung
kyungx",qióng,gung2；kung4
𠌖,U+20316,群開三平鍾,渠容,gyung,qióng,
𩬰,U+29B30,群開三平鍾,渠容,gyung,qióng,
桏,U+684F,群開三平鍾,渠容,gyung,qióng,kung4
䅃,U+4143,"群開三上鍾
群開三平鍾","渠隴
渠容","gyungx
gyung",jiòng；qióng,kung4
𤤶,U+24936,群開三平鍾,渠容,gyung,qióng,
𩢽,U+298BD,群開三平鍾,渠容,gyung,qióng,
慵,U+6175,常開三平鍾,蜀庸,zjyung,yōng,jung4
𩌨,U+29328,常開三平鍾,蜀庸,zjyung,chóng,
恭,U+606D,見開三平鍾,九容,kyung,gōng,gung1
龔,U+9F94,見開三平鍾,九容,kyung,gōng,gung1
供,U+4F9B,"見開三去鍾
見開三平鍾","居用
九容","kyungh
kyung",gòng；gōng,gung1；gung3
珙,U+73D9,"見開三上鍾
見開三平鍾","居悚
九容","kyungx
kyung",gǒng,gung2
䢼,U+48BC,見開三平鍾,九容,kyung,gōng,gung1
共,U+5171,"群開三去鍾
見開三平鍾","渠用
九容","gyungh
kyung",gòng；gōng；gǒng；hóng,gung1；gung2；gung6
𤱨,U+24C68,見開三平鍾,九容,kyung,gōng,
廾,U+5EFE,"見開三上鍾
見開三平鍾","居悚
九容","kyungx
kyung",gǒng,gung2
髸,U+9AF8,見開三平鍾,九容,kyung,gōng,gung1
䳍,U+4CCD,見開三平鍾,九容,kyung,gōng,gung1；gung6
蜙,U+8719,心開三平鍾,息恭,syung,sōng,sung1
凇,U+51C7,"心開一去東
心開三平鍾","蘇弄
息恭","sungh
syung",sōng,sung1
倯,U+502F,心開三平鍾,息恭,syung,sōng,sung1
𢔋,U+2250B,心開三平鍾,息恭,syung,sōng,
鏦,U+93E6,"初開二平江
清開三平鍾","楚江
七恭","chrung
chyung",cōng,cung1
暰,U+66B0,清開三平鍾,七恭,chyung,cōng,cung1
瑽,U+747D,清開三平鍾,七恭,chyung,cōng,cung1；cung4
摐,U+6450,"初開二平江
清開三平鍾","楚江
七恭","chrung
chyung",chuāng,coeng1；cung1
䐫,U+442B,清開三平鍾,七恭,chyung,cōng,cung1
𥡬,U+2586C,清開三平鍾,七恭,chyung,cōng,
𨑪,U+2846A,清開三平鍾,七恭,chyung,cōng,
江,U+6C5F,見開二平江,古雙,krung,jiāng,gong1
扛,U+625B,見開二平江,古雙,krung,gāng；káng,gong1；kong1
杠,U+6760,見開二平江,古雙,krung,gàng；gāng；gōng,gong1；gong3
茳,U+8333,見開二平江,古雙,krung,jiāng,gong1
矼,U+77FC,見開二平江,古雙,krung,gāng；kòng；qiāng,gong1；hong1
豇,U+8C47,見開二平江,古雙,krung,jiāng,gong1
肛,U+809B,"曉開二平江
見開二平江","許江
古雙","hrung
krung",gāng,gong1
䜫,U+472B,見開二平江,古雙,krung,hóng；jiāng,gong1
厖,U+5396,明開二平江,莫江,mrung,máng；páng,mong4；pong4
駹,U+99F9,明開二平江,莫江,mrung,máng,mong4
狵,U+72F5,明開二平江,莫江,mrung,máng；zhuó,mong4
尨,U+5C28,明開二平江,莫江,mrung,máng；méng；páng,mong4；mung4；pong4
浝,U+6D5D,明開二平江,莫江,mrung,máng,mong4
哤,U+54E4,明開二平江,莫江,mrung,máng,mong4
牻,U+727B,明開二平江,莫江,mrung,máng,mong4
娏,U+5A0F,明開二平江,莫江,mrung,máng,mong4
䵨,U+4D68,明開二平江,莫江,mrung,máng,mong4
㟌,U+37CC,明開二平江,莫江,mrung,máng,mong4
蛖,U+86D6,明開二平江,莫江,mrung,bàng；máng,mong4
𥆙,U+25199,明開二平江,莫江,mrung,máng,
痝,U+75DD,明開二平江,莫江,mrung,máng,mong4
𠈵,U+20235,"明開二上江
明開二平江","武項
莫江","mrungx
mrung",mǎng,
𦗳,U+265F3,娘開二平江,女江,nrung,náng,
𣰊,U+23C0A,娘開二平江,女江,nrung,,
鬞,U+9B1E,娘開二平江,女江,nrung,nàng；náng,long4；nong4
䁸,U+4078,娘開二平江,女江,nrung,náng；nǒng,long4；nong4
𪆯,U+2A1AF,娘開二平江,女江,nrung,nóng,
䆫,U+41AB,初開二平江,楚江,chrung,chuāng,coeng1
牎,U+724E,初開二平江,楚江,chrung,chuāng,coeng1
窓,U+7A93,初開二平江,楚江,chrung,chuāng,coeng1
䎫,U+43AB,"初開二去江
初開二平江","楚絳
楚江","chrungh
chrung",chuàng,zung1
𥍷,U+25377,初開二平江,楚江,chrung,cōng,
邦,U+90A6,幫開二平江,博江,prung,bāng,bong1
𤰫,U+24C2B,幫開二平江,博江,prung,,
梆,U+6886,幫開二平江,博江,prung,bāng,bong1
垹,U+57B9,幫開二平江,博江,prung,bāng,bong1
栙,U+6819,匣開二平江,下江,ghrung,xiáng,hong4
䜶,U+4736,匣開二平江,下江,ghrung,xiáng,gong3
降,U+964D,"匣開二平江
見開二去江","下江
古巷","ghrung
krungh",jiàng；xiàng；xiáng,gong3；hong4
缸,U+7F38,匣開二平江,下江,ghrung,gāng,gong1
缻,U+7F3B,匣開二平江,下江,ghrung,fǒu,fau2
夅,U+5905,匣開二平江,下江,ghrung,jiàng,gong3
跭,U+8DED,匣開二平江,下江,ghrung,xiáng,hong4
胮,U+80EE,"並開二平江
滂開二平江","薄江
匹江","brung
phrung",pāng,pong1
𤵸,U+24D78,滂開二平江,匹江,phrung,lóng；pāng,
𩐨,U+29428,"並開二平江
滂開二平江","薄江
匹江","brung
phrung",pāng,
𪔔,U+2A514,滂開二平江,匹江,phrung,péng；pāng,
𪐿,U+2A43F,滂開二平江,匹江,phrung,pāng,
雙,U+96D9,生開二平江,所江,srung,shuāng,soeng1；sung1
艭,U+826D,生開二平江,所江,srung,shuāng,soeng1
䉶,U+4276,生開二平江,所江,srung,shuāng,soeng1
